dataset,matched_pairs,ate_rmse_m,ate_mean_m,ate_median_m,ate_scale,rpe_interval_sec,rpe_pairs,rpe_rmse_m,rpe_mean_m,rpe_median_m,rpe_rmse_percent,rpe_mean_percent,rpe_median_percent,rpe_rmse_deg,tracking_time_mean_ms,tracking_time_median_ms
rgbd_dataset_freiburg3_walking_xyz,648,0.01764829874935865,0.013050470586231823,0.010419387307534379,12.399064137520512,1.0,619,0.02385094771291401,0.018005451402379247,0.014303183402419801,22.758857917953286,12.852593730141026,7.661586225527221,0.6401240749719515,24.674824,19.749042000000003
rgbd_dataset_freiburg3_walking_rpy,628,0.04285203130106151,0.03857979705344038,0.036937355814662745,3.5414569409932075,1.0,570,0.041037469061458436,0.03589372826985635,0.03187925702491616,122.75868941697676,89.95692212153362,78.51367573777708,0.9370125254450232,18.88288,17.147375
rgbd_dataset_freiburg3_walking_halfsphere,826,0.02386164499088943,0.019004565118831616,0.015291760422081854,12.78143201751628,1.0,768,0.032212108966530296,0.02634608084038352,0.021453936944275637,50.351540786061776,25.094178313762203,14.10604854673386,0.9315916022451783,36.080781,23.244917
rgbd_dataset_freiburg3_walking_static,700,0.01999602908996543,0.016004883267009055,0.011990861530366511,3.2170815609045538,1.0,671,0.011911890641424503,0.010158173311500608,0.00833482699198886,106.27126888416012,95.83798917126367,85.00949433161851,0.25236052038437323,16.347537,15.473167
